TutorialID,StepIndex,TargetID,InstructionAR,RequireTargetClick,TimeScale,AnimationType
House1_Intro,0,None,أهلاً بك في كَشْخَة-بوت 3000! مهمتك هي مساعدة الروبوت في التنقل بين الزيارات العائلية بذكاء.,0,0,None
House1_Intro,1,SocialBattery,هذا شريط الطاقة الاجتماعية. انتبه ألا ينفد!,0,0,Point
House1_Intro,2,StomachMeter,وهذا شريط المعدة. لا تأكل كثيراً فتنفجر!,0,0,Point
House1_Intro,3,QuestionTimer,لديك وقت محدد لكل قرار. كن سريعاً!,0,0,Point
House1_Intro,4,CardContainer,"هذه هي بطاقة الحوار. اسحب لليمين للموافقة، أو لليسار للرفض.",1,1,Swipe
InteractionTutorial_Shake,0,InteractionZone,هز الجهاز بسرعة لإتمام هذه الحركة بنجاح!,1,0.5,Shake
InteractionTutorial_Tap,0,InteractionZone,اضغط بسرعة وبشكل متكرر على الشاشة!,1,0.5,Tap
InteractionTutorial_Hold,0,InteractionZone,اضغط مع الاستمرار حتى يكتمل شريط التقدم.,1,0.5,Hold
InteractionTutorial_Draw,0,InteractionZone,حرك إصبعك على الشاشة بسرعة!,1,0.2,Draw
TUT_SAD,0,CharacterPortrait,انظر! الشخصية بدأت تشعر بالحزن لأنك لم تتفاعل. أسرع!,1,1,Point
LEVEL1_FINISH,0,None,أحسنت! تذكر أن قراراتك تؤثر على طاقتك ومعدتك. حظاً موفقاً في أول زيارة!,0,1,None
TUT_HUB_UPGRADES_INFO,0,None,"هنا يمكنك تطوير مهارات الروبوت لزيادة طاقته أو تقليل سرعة امتلاء معدته. استخدم العيدية التي جمعتها بذكاء!",1,1.0,None
TUT_HUB_WARDROBE_INFO,0,None,"غير مظهر الروبوت باختيار ملابس جديدة! بعض الملابس قد تعطيك حماية إضافية في المستقبل.",1,1.0,None
TUT_HUB_HOUSES_INFO,0,None,"هنا تظهر البيوت التي ستزورها. تذكر أن الألعاب المصغرة بين البيوت اختيارية ولكنها تزيد من عيديتك!",1,1.0,None
TUT_HUB_WELCOME,0,None,"أهلاً بك في المجلس! هنا يمكنك التحضير لزياراتك.",1,1.0,None
TUT_HUB_SELECT_CLOTH,0,FirstOutfitSlot,"يمكنك الضغط على أي زي لتغيير مظهر الروبوت! جرب اختيار واحد الآن.",1,1.0,Point

